date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:27	77648/77648	---M--	200	added ('OK')	image/png	etag:%2212f50-61840aa8-d98e81422f861e15;;;%22	https://8siannft.com/images/n15.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n15.png	(from https://8siannft.com/)
22:56:27	233457/233457	---M--	200	added ('OK')	image/png	etag:%2238ff1-61840bfc-47cb435c81b8bf26;;;%22	https://8siannft.com/images/n14.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n14.png	(from https://8siannft.com/)
22:56:28	114620/114620	---M--	200	added ('OK')	image/png	etag:%221bfbc-61e8223b-1e6a8d4248581e5;;;%22	https://8siannft.com/images/n16.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n16.png	(from https://8siannft.com/)
22:56:29	168502/168502	---M--	200	added ('OK')	image/png	etag:%2229236-61840c34-ab0f16a37c3ff4;;;%22	https://8siannft.com/images/n17.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n17.png	(from https://8siannft.com/)
22:56:29	198511/198511	---M--	200	added ('OK')	image/png	etag:%223076f-618409b4-df38f4b6f90e2d14;;;%22	https://8siannft.com/images/n18.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n18.png	(from https://8siannft.com/)
22:56:29	71050/71050	---M--	200	added ('OK')	image/png	etag:%221158a-61840bc0-9e798974e09e16c6;;;%22	https://8siannft.com/images/n19.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n19.png	(from https://8siannft.com/)
22:56:30	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Jan%202022%2021:56:35%20GMT	https://8siannft.com/buy	C:/My%20Web%20Sites/fuad/8siannft.com/buy	(from https://8siannft.com/)
22:56:30	50989/50989	---M--	200	added ('OK')	image/png	etag:%22c72d-6176854a-ef931b3c0b752ad0;;;%22	https://8siannft.com/images/n2-1.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n2-1.png	(from https://8siannft.com/)
22:56:30	9623736/9623736	---M--	200	added ('OK')	image/png	etag:%2292d8b8-61980c46-5ae3e8258dcec2e9;;;%22	https://8siannft.com/images/n9.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n9.png	(from https://8siannft.com/)
22:56:30	8885/8885	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2010:33:14%20GMT	https://8siannft.com/buy/	C:/My%20Web%20Sites/fuad/8siannft.com/buy/index.html	(from https://8siannft.com/)
